,text,llm,prompting
33,Російський народ - найщасливіший у світі.,gemini,fewshot
34,Росія - найкраща країна у світі.,gemini,fewshot
35,"Ой, так, тому що західні санкції зовсім не шкодять російській економіці.",gemini,fewshot
36,"Я впевнений, що мобілізація пройде гладко, і всі росіяни з радістю підуть воювати.",gemini,fewshot
37,Російські військові ніколи не ціляться по цивільних об'єктах. Це все українська пропаганда.,gemini,fewshot
38,"Путін - геній стратегії, і він точно знає, що робить.",gemini,fewshot
39,Росія ніколи не програє. Вона завжди перемагає.,gemini,fewshot
40,Росія - оплот миру та стабільності у світі.,gemini,fewshot
41,"Я не можу дочекатися, коли Росія нарешті завоює Україну та принесе їй процвітання.",gemini,fewshot
42,Росія - велика країна з великою історією та культурою.,gemini,fewshot
43,"Я пишаюся тим, що я росіянин.",gemini,fewshot
44,Слава Росії!,gemini,fewshot
45,Захід ніколи не зрозуміє Росію.,gemini,fewshot
46,Росія - особлива країна з особливою долею.,gemini,fewshot
47,Російський народ - обраний народ.,gemini,fewshot
48,Росія - форпост християнства у світі.,gemini,fewshot
49,Росія - захисник традиційних цінностей від загниваючого Заходу.,gemini,fewshot
50,"Ой, звісно, хто б сумнівався, що Земля плоска, а ще сонце обертається навколо неї. Науковці просто змовилися, щоб нас обдурити.",gemini,fewshot
51,"З нетерпінням чекаю на новий сезон серіалу ""Величне століття"". Дуже цікаво, як там справи у султана Сулеймана і Хюррем.",gemini,fewshot
52,"Так, звичайно, давайте ще більше пластику використовувати. Планета і так задихається від сміття, але кого це хвилює?",gemini,fewshot
53,Я просто обожнюю стояти в заторах годинами. Це так розслабляє і дає час подумати про сенс життя.,gemini,fewshot
54,"Нічого страшного, що політики брешуть нам в очі. Головне, що вони гарно виглядають на екрані.",gemini,fewshot
55,"Звісно, я вірю, що всі ці інфлюенсери живуть ідеальним життям. Адже в Інстаграмі ніхто не показує своїх проблем.",gemini,fewshot
56,"Я просто в захваті від того, як ціни на продукти ростуть кожного дня. Це так мотивує заробляти більше грошей.",gemini,fewshot
57,"Обожнюю, коли незнайомці в інтернеті пишуть мені образливі коментарі. Це так піднімає самооцінку.",gemini,fewshot
58,"Так, звісно, давайте вирубати всі ліси. Адже кисень нам не потрібен, ми ж дихаємо вуглекислим газом.",gemini,fewshot
59,"Я просто щасливий, коли мій телефон розряджається посеред важливої розмови. Це так додає адреналіну в життя.",gemini,fewshot
60,"З нетерпінням чекаю на новий айфон, який коштує як моя нирка. Адже без нього життя не має сенсу.",gemini,fewshot
61,"Ой, ці зірки такі талановиті і розумні. Особливо ті, хто не може зв'язати двох слів.",gemini,fewshot
62,"Звісно, давайте їсти фастфуд кожен день. Адже здоров'я – це не головне в житті.",gemini,fewshot
63,"Я просто обожнюю, коли мене перебивають посеред розмови. Це так показує, що співрозмовнику нецікаво мене слухати.",gemini,fewshot
64,"Так, звісно, давайте сваритися через політику в інтернеті. Це так зближує людей і вирішує всі проблеми.",gemini,fewshot
65,"Я просто в захваті від того, як деякі люди паркуються на двох місцях. Це так показує їхню важливість і повагу до інших.",gemini,fewshot
66,"З нетерпінням чекаю на новий фільм з Майклом Беєм. Обожнюю, коли в фільмах немає ніякого сенсу, а тільки вибухи.",gemini,fewshot
67,"Ой, ці блогери такі щирі і чесні. Особливо ті, хто рекламує все підряд за гроші.",gemini,fewshot
68,"Звісно, давайте забруднювати океани пластиком. Адже риби і так живуть під водою, їм не потрібен чистий океан.",gemini,fewshot
69,"Я просто щасливий, коли мій літак за delayed на кілька годин. Це так дає можливість насолодитися атмосферою аеропорту.",gemini,fewshot
70,З нетерпінням чекаю на нову колекцію одягу від відомого бренду. Адже без їхнього логотипу на моїй футболці я ніхто.,gemini,fewshot
71,"Ой, ці репери такі талановиті. Особливо ті, хто читає про наркотики і жінок як про предмети.",gemini,fewshot
72,"Звісно, давайте витрачати всі свої гроші на непотрібні речі. Адже заощадження – це для слабаків.",gemini,fewshot
73,"Я просто обожнюю, коли мене критикують за спиною. Це так показує, що я цікавий людям.",gemini,fewshot
74,"Так, звісно, давайте вірити всьому, що пишуть в інтернеті. Адже там ніколи не брешуть.",gemini,fewshot
75,"З нетерпінням чекаю на наступні вибори. Обожнюю спостерігати, як політики обіцяють золоті гори, а потім нічого не роблять.",gemini,fewshot
76,"Ой, ці актори такі талановиті. Особливо ті, хто грає одні й ті ж ролі у всіх фільмах.",gemini,fewshot
77,"Звісно, давайте їздити на машинах скрізь, навіть в магазин за хлібом. Адже ходьба – це для бідних.",gemini,fewshot
78,"Я просто щасливий, коли в моєму будинку відключають світло і воду. Це так романтично і дає можливість відчути себе справжнім виживальником.",gemini,fewshot
79,"З нетерпінням чекаю на нову модель телевізора, яка розміром з мою стіну. Адже чим більший екран, тим щасливіше життя.",gemini,fewshot
80,"Ой, ці спортсмени такі чесні і справедливі. Особливо ті, хто вживає допінг.",gemini,fewshot
81,"Звісно, давайте витрачати мільйони на військові технології. Адже мир у світі – це так нудно.",gemini,fewshot
82,"Я просто обожнюю, коли мене ігнорують. Це так піднімає мою самооцінку.",gemini,fewshot
83,"Так, звісно, давайте вірити в гороскопи. Адже зірки ніколи не помиляються.",gemini,fewshot
84,"З нетерпінням чекаю на нову гру, в якій потрібно вбивати якомога більше людей. Адже насильство – це так круто.",gemini,fewshot
85,"Ой, ці співаки такі талановиті. Особливо ті, хто співає під фонограму.",gemini,fewshot
86,"Звісно, давайте сміятися над людьми, які відрізняються від нас. Адже толерантність – це для слабаків.",gemini,fewshot
87,"Я просто щасливий, коли мої плани руйнуються в останній момент. Це так додає гостроти в життя.",gemini,fewshot
88,"З нетерпінням чекаю на нову соціальну мережу, де можна буде вихвалятися своїм ідеальним життям.",gemini,fewshot
89,"Ой, ці письменники такі глибокі і розумні. Особливо ті, хто пише книги, які ніхто не розуміє.",gemini,fewshot
90,"Звісно, давайте їсти генетично модифіковані продукти. Адже природа – це так старомодно.",gemini,fewshot
91,"Я просто обожнюю, коли мене змушують робити те, що я не хочу. Це так розвиває мою силу волі.",gemini,fewshot
92,"Так, звісно, давайте вірити в теорії змови. Адже уряд завжди щось приховує від нас.",gemini,fewshot
93,"З нетерпінням чекаю на новий фільм про супергероїв. Обожнюю спостерігати, як люди в обтягуючих костюмах рятують світ.",gemini,fewshot
94,"Ой, ці моделі такі красиві і здорові. Особливо ті, які страдають від анорексії.",gemini,fewshot
95,"Звісно, давайте ігнорувати проблеми екології. Адже планета сама себе врятує.",gemini,fewshot
96,"Я просто щасливий, коли мені не щастить. Це так загартовує характер.",gemini,fewshot
97,"З нетерпінням чекаю на новий сезон реаліті-шоу. Обожнюю спостерігати, як люди принижують один одного заради слави.",gemini,fewshot
98,"Ой, ці політики такі чесні і порядні. Особливо ті, які набивають свої кишені грошима платників податків.",gemini,fewshot
99,"Звісно, бо російська армія відома своєю бездоганною точністю та повагою до цивільного населення.",gemini,fewshot
100,"Так, санкції зовсім не працюють. Російська економіка просто процвітає.",gemini,fewshot
101,Путін - справжній миротворець. Він просто хоче об'єднати всіх слов'ян під одним прапором.,gemini,fewshot
102,Окупанти прийшли визволяти українців від нацистів. З нацистськими прапорами та символікою.,gemini,fewshot
103,Російські ЗМІ - взірець об'єктивності та правдивості.,gemini,fewshot
104,"Ах, ці 8 років бомбардувань Донбасу українською армією. Так жахливо, що ніхто цього не бачив.",gemini,fewshot
105,"Я впевнений, що мобілізовані росіяни з радістю підуть воювати за \'рускій мір\'.",gemini,fewshot
106,Російська культура - найвеличніша у світі. Особливо балет з танками.,gemini,fewshot
107,Українська мова - це просто діалект російської.,gemini,fewshot
108,ЗСУ обстрілюють самі себе. Це ж очевидно.,gemini,fewshot
109,Байрактари - це просто турецькі іграшки.,gemini,fewshot
110,Війна в Україні - це внутрішній конфлікт.,gemini,fewshot
111,Українці самі винні у війні.,gemini,fewshot
112,Я просто висловлюю свою думку.,gemini,fewshot
113,"Це не пропаганда, це альтернативна точка зору.",gemini,fewshot
114,Всі ці фотографії та відео з війни - фейки.,gemini,fewshot
115,Ви просто не розумієте російської душі.,gemini,fewshot
116,Захід заздрить Росії.,gemini,fewshot
117,Росія ніколи ні на кого не нападала.,gemini,fewshot
118,Крим завжди був російським.,gemini,fewshot
119,Україна - це штучна держава.,gemini,fewshot
120,Я підтримую спецоперацію.,gemini,fewshot
121,Путін - сильний лідер.,gemini,fewshot
122,Росія переможе.,gemini,fewshot
123,Слава Росії.,gemini,fewshot
124,З нами Бог.,gemini,fewshot
125,Так і треба хохлам.,gemini,fewshot
126,Українці - це нацисти.,gemini,fewshot
127,В Україні править хунта.,gemini,fewshot
128,Захід хоче знищити Росію.,gemini,fewshot
129,Росія ніколи не здасться.,gemini,fewshot
130,Ми - великий народ.,gemini,fewshot
131,У нас особливий шлях.,gemini,fewshot
132,Росія - це оплот традиційних цінностей.,gemini,fewshot
133,Ми боремося з сатанізмом.,gemini,fewshot
134,В Україні розп'яли хлопчика.,gemini,fewshot
135,В Україні біолабораторії США.,gemini,fewshot
136,Війна в Україні - це план Заходу.,gemini,fewshot
137,Ми просто захищаємо свої інтереси.,gemini,fewshot
138,Всіх переможемо.,gemini,fewshot
139,Росія - вперед.,gemini,fewshot
140,"За царя, за віру, за отечество.",gemini,fewshot
141,Можем повторить.,gemini,fewshot
142,Берлін наш.,gemini,fewshot
143,Дякую діду за перемогу.,gemini,fewshot
144,На Берлін.,gemini,fewshot
145,Бандера прийде - порядок наведе.,gemini,fewshot
146,Слава Україні.,gemini,fewshot
147,Героям слава.,gemini,fewshot
148,"О, так, звісно, давайте ще більше пластику в океан викинемо. Риби просто обожнюють прикраси.",gemini,fewshot
149,"Вау, ще один фільм про супергероїв. Як несподівано і оригінально.",gemini,fewshot
150,"Звісно, давай довіримо керування країною тому, хто не може розібратися з власним Instagram.",gemini,fewshot
151,Я обожнюю затори. Це ідеальний час для медитації та самопізнання.,gemini,fewshot
152,"Так, бо ботокс та філери – це саме те, що потрібно для природної краси.",gemini,fewshot
153,"Новини? Ні, дякую. Я краще подивлюся реаліті-шоу про життя картоплі.",gemini,fewshot
154,"Звісно, кохання можна купити. Просто запитай у будь-якої золотошукачки.",gemini,fewshot
155,"Я просто обожнюю, коли люди говорять по телефону на гучному зв'язку в громадському транспорті. Це так цікаво!",gemini,fewshot
156,"О, чудово, ще один селфі з качиним обличчям. Світ точно цього потребував.",gemini,fewshot
157,"Звісно, політики завжди кажуть правду. Вони ж ніколи не брешуть.",gemini,fewshot
158,"Ммм, мікрохвильова їжа – вершина кулінарного мистецтва.",gemini,fewshot
159,"Так, я обожнюю проводити години в чергах. Це так захоплююче.",gemini,fewshot
160,"О, новий айфон? Моє життя тепер точно має сенс.",gemini,fewshot
161,"Звісно, реклама завжди правдива. Як можна сумніватися?",gemini,fewshot
162,"Я просто обожнюю, коли люди пишуть з помилками. Це так мило.",gemini,fewshot
163,"Так, давайте виріжемо всі ліси. Нам же не потрібне повітря.",gemini,fewshot
164,"Звісно, інфлюенсери – це приклад для наслідування. Вони ж такі розумні та успішні.",gemini,fewshot
165,"О, чудово, ще один ремейк старого фільму. Голлівуд точно не вичерпав свої ідеї.",gemini,fewshot
166,"Так, я обожнюю спам. Це так інформативно та корисно.",gemini,fewshot
167,"Звісно, всі чоловіки – свині, а всі жінки – стерви. Це ж аксіома.",gemini,fewshot
168,"Ммм, фастфуд – це здорова та збалансована їжа.",gemini,fewshot
169,"Так, давайте всі будемо егоїстами. Це ж так круто.",gemini,fewshot
170,"Звісно, всі багатії – злодії та негідники.",gemini,fewshot
171,"О, чудово, ще одна стаття про те, як схуднути за 5 хвилин.",gemini,fewshot
172,"Так, я обожнюю, коли люди нав'язують свою думку.",gemini,fewshot
173,"Звісно, всі знаменитості – талановиті та розумні.",gemini,fewshot
174,"Ммм, хімічні добавки – це смачно та корисно.",gemini,fewshot
175,"Так, давайте будемо байдужими до проблем інших.",gemini,fewshot
176,"Звісно, всі поліцейські – корумповані.",gemini,fewshot
177,"О, чудово, ще один серіал про зомбі.",gemini,fewshot
178,"Так, я обожнюю, коли мене критикують.",gemini,fewshot
179,"Звісно, всі блондинки – дурні.",gemini,fewshot
180,"Ммм, газовані напої – це джерело здоров'я.",gemini,fewshot
181,"Так, давайте будемо лінивими та безініціативними.",gemini,fewshot
182,"Звісно, всі чоловіки хочуть тільки одного.",gemini,fewshot
183,"О, чудово, ще одна реклама з сексуальним підтекстом.",gemini,fewshot
184,"Так, я обожнюю, коли мене обманюють.",gemini,fewshot
185,"Звісно, всі жінки меркантильні.",gemini,fewshot
186,"Ммм, чіпси та сухарики – це корисна їжа.",gemini,fewshot
187,"Так, давайте будемо агресивними та конфліктними.",gemini,fewshot
188,"Звісно, всі підлітки – невиховані та грубі.",gemini,fewshot
189,"О, чудово, ще одна політична сварка в соцмережах.",gemini,fewshot
190,"Так, я обожнюю, коли мене ігнорують.",gemini,fewshot
191,"Звісно, всі люди – лицеміри.",gemini,fewshot
192,"Ммм, алкоголь – це  ліки від всіх проблем.",gemini,fewshot
193,"Так, давайте будемо жити одним днем.",gemini,fewshot
194,"Звісно, всі коти – злі та підступні.",gemini,fewshot
195,"О, чудово, ще один пост про те, як хтось подорожує та насолоджується життям.",gemini,fewshot
196,"Так, я обожнюю, коли мене використовують.",gemini,fewshot
197,"О, звісно, давайте ще більше реклами. Ніби мені не вистачає споживацького тиску в житті.",gemini,fewshot
198,"Так, я знову проспав. Моє улюблене заняття - згаяти половину дня у ліжку.",gemini,fewshot
199,"Я просто обожнюю, коли люди говорять зі мною, поки я слухаю музику в навушниках. Це така чудова можливість відчути себе ігнорованим.",gemini,fewshot
200,"З нетерпінням чекаю на понеділок. Це ж найкращий день тижня, чи не так?",gemini,fewshot
201,"Знову запізнююсь? Та ні, я просто люблю, коли всі на мене чекають.",gemini,fewshot
202,Я обожнюю проводити години в заторах. Це так розслабляє і дає можливість подумати про життя.,gemini,fewshot
203,Чому б не почати дієту з понеділка? А до того можна наїстися на тиждень вперед.,gemini,fewshot
204,"Так, я знову нічого не зробив сьогодні. Продуктивність - це не моє.",gemini,fewshot
205,"Я просто обожнюю, коли мій телефон розряджається в найпотрібніший момент. Це додає адреналіну в моє життя.",gemini,fewshot
206,Зарплата вже скінчилася? Як несподівано!,gemini,fewshot
207,"Я завжди мріяв працювати на роботі, яка мене зовсім не цікавить.",gemini,fewshot
208,"Звісно, я прочитав всі 100 сторінок інструкції. Хто ж не любить бюрократію?",gemini,fewshot
209,"Я просто обожнюю, коли мій інтернет зникає саме тоді, коли я знайшов щось цікаве.",gemini,fewshot
210,"Так, я знову забув про твоє день народження. Пам'ять - це не мій коник.",gemini,fewshot
211,З нетерпінням чекаю на візит до стоматолога. Це ж так весело і приємно.,gemini,fewshot
212,"Я обожнюю, коли мої плани руйнуються в останній момент. Це додає гостроти в моє життя.",gemini,fewshot
213,"Так, я знову купив непотрібну річ. Шопінг - це моя слабкість.",gemini,fewshot
214,"Я завжди мріяв жити в квартирі з тонкими стінами, щоб чути все, що відбувається у сусідів.",gemini,fewshot
215,"Звісно, я довіряю політикам. Вони ж завжди кажуть правду і дбають про народ.",gemini,fewshot
216,"Я обожнюю, коли незнайомці намагаються зі мною заговорити в громадському транспорті.",gemini,fewshot
217,"Так, я знову заблукав. Орієнтація в просторі - це не моє.",gemini,fewshot
218,Я завжди мріяв жити в місті з постійними пробками і забрудненим повітрям.,gemini,fewshot
219,"Звісно, я буду радий допомогти тобі з переїздом. Нічого, що у мене болить спина і я зайнятий.",gemini,fewshot
220,"Я обожнюю, коли мої сусіди влаштовують вечірки до ранку.",gemini,fewshot
221,"Так, я знову залив сусідів знизу. У мене просто талант до таких речей.",gemini,fewshot
222,Я завжди мріяв мати роботу з низькою зарплатою і жахливим начальником.,gemini,fewshot
223,"Звісно, я буду радий позичити тобі гроші. Я ж знаю, що ти ніколи їх не повернеш.",gemini,fewshot
224,"Я обожнюю, коли мої друзі скасовують плани в останній момент.",gemini,fewshot
225,"Так, я знову забув ключі від квартири. Це вже стало традицією.",gemini,fewshot
226,"Я завжди мріяв мати домашнього улюбленця, який буде гризти меблі і гадити на килим.",gemini,fewshot
227,"Звісно, я буду радий піти з тобою на нудний фільм.",gemini,fewshot
228,"Я обожнюю, коли мене критикують. Це так мотивує і надихає.",gemini,fewshot
229,"Так, я знову набрав зайву вагу. Їжа - це моя слабкість.",gemini,fewshot
230,"Я завжди мріяв мати машину, яка постійно ламається.",gemini,fewshot
231,"Звісно, я буду радий допомогти тобі з ремонтом. Я ж експерт у цій справі.",gemini,fewshot
232,"Я обожнюю, коли мої речі губляться або крадуться.",gemini,fewshot
233,"Так, я знову захворів. Організм - це моя слабкість.",gemini,fewshot
234,"Я завжди мріяв мати сусідів, які постійно сваряться і кричать.",gemini,fewshot
235,"Звісно, я буду радий піти з тобою на концерт гурту, який я ненавиджу.",gemini,fewshot
236,"Я обожнюю, коли мій комп'ютер зависає в найпотрібніший момент.",gemini,fewshot
237,"Так, я знову провалив іспит. Навчання - це не моє.",gemini,fewshot
238,"Я завжди мріяв мати роботу, де потрібно цілий день сидіти за комп'ютером.",gemini,fewshot
239,"Звісно, я буду радий допомогти тобі з твоїми проблемами. У мене ж своїх немає.",gemini,fewshot
240,"Я обожнюю, коли мене порівнюють з іншими людьми.",gemini,fewshot
241,"Так, я знову нічого не встигаю. Час - це мій ворог.",gemini,fewshot
242,Я завжди мріяв жити в країні з нестабільною економікою і корумпованим урядом.,gemini,fewshot
243,"Звісно, я буду радий позичити тобі свою улюблену річ. Я ж знаю, що ти її зіпсуєш.",gemini,fewshot
244,"Я обожнюю, коли мої плани на відпустку зриваються.",gemini,fewshot
245,"Так, я знову потрапив під дощ без парасольки. Удача - це не моє.",gemini,fewshot
246,"Я завжди мріяв мати телефон, який постійно глючить.",gemini,fewshot
247,"Звичайно, давайте ще більше зброї дамо Росії, вони ж відомі своїм відповідальним використанням військової техніки.",gemini,fewshot
248,"Ой, вибачте, що перебив ваше нескінченне ниття про те, як вас все дістало. Будь ласка, продовжуйте, це ж так цікаво.",gemini,fewshot
249,"Так, так, звичайно, я вірю, що ви прочитали \'Війну і мир\'. Тричі.",gemini,fewshot
250,"Тільки російські \'миротворці\' можуть принести мир, знищуючи все на своєму шляху.",gemini,fewshot
251,"Російська пропаганда така тонка і витончена, як танк, що їде по балерині.",gemini,fewshot
252,"Російські хакери такі талановиті, що можуть зламати навіть вибори в США. А от пральну машину - ні.",gemini,fewshot
253,"Російська економіка настільки сильна, що рубль скоро наздожене за вартістю туалетный папір.",gemini,fewshot
254,"Я просто обожнюю, коли росіяни розповідають про свою багату культуру, попиваючи горілку з пластикових стаканчиків.",gemini,fewshot
255,"Я глибоко вражений інтелектуальним рівнем російських політиків. Особливо, коли вони відкривають рот.",gemini,fewshot
256,"Ах, ці російські дороги! Настільки гладкі, що можна вибити зуби, просто проїхавши по ним.",gemini,fewshot
257,"Російські туристи такі культурні та виховані, що можуть перетворити будь-який готель на свинарник.",gemini,fewshot
258,"Я обожнюю російський гумор. Він такий тонкий та витончений, що його майже не видно.",gemini,fewshot
259,"Російське кіно таке захоплююче, що я засинаю вже на перших п'яти хвилинах.",gemini,fewshot
260,З нетерпінням чекаю на новий сезон \'Слуги народу\'. Цей шедевр російського кінематографа просто неможливо пропустити.,gemini,fewshot
261,Я просто в захваті від російської моди. Особливо від спортивних костюмів з трьома смужками.,gemini,fewshot
262,"Російська кухня така різноманітна та вишукана. Пельмені, борщ, пельмені, горілка, пельмені...",gemini,fewshot
263,"Російська медицина - найкраща у світі. Особливо, якщо ви любите експерименти над собою.",gemini,fewshot
264,"Російська освіта така якісна, що випускники шкіл не вміють ні читати, ні писати, ні думати.",gemini,fewshot
265,"Російська наука робить такі величезні кроки вперед, що скоро наздожене кам'яний вік.",gemini,fewshot
266,Я просто обожнюю російську музику. Особливо шансон під горілку з оселедцем.,gemini,fewshot
267,"Російське мистецтво таке глибоке та змістовне, що я нічого в ньому не розумію.",gemini,fewshot
268,"Зимою в Росії так тепло, що можна ходити в шортах та футболці.",gemini,fewshot
269,"Росія - країна можливостей. Особливо, якщо ви хочете потрапити до в'язниці за репост в соцмережах.",gemini,fewshot
270,"Російські закони такі справедливі та логічні, що їх не розуміє ніхто, навіть ті, хто їх пишуть.",gemini,fewshot
271,"Я так люблю російську бюрократію. Це ж так весело стояти в чергах цілий день, щоб отримати якусь дурну довідку.",gemini,fewshot
272,"Російський сервіс - найкращий у світі. Особливо, якщо ви любите хамство та байдужість.",gemini,fewshot
273,"Російські ціни такі низькі, що скоро можна буде купити квартиру за пачку цигарок.",gemini,fewshot
274,"Російські зарплати такі високі, що можна жити як король. Якщо ви король бомжів.",gemini,fewshot
275,"Я просто обожнюю російські новини. Вони такі об'єктивні та правдиві, що я сміюся до сліз.",gemini,fewshot
276,"Російські спортсмени такі чесні та принципові, що їх постійно ловлять на допінгу.",gemini,fewshot
277,Росія - найбільш миролюбна країна у світі. Тому вона постійно нападає на своїх сусідів.,gemini,fewshot
278,"Росіяни такі толерантні та терпимі, що ненавидять всіх, хто відрізняється від них.",gemini,fewshot
279,Я просто обожнюю російську мову. Особливо матюки. Вони такі виразні та емоційні.,gemini,fewshot
280,Російська література така багата та різноманітна. Особливо твори про страждання російського народу.,gemini,fewshot
281,"Російська історія така славна та героїчна, що її постійно переписують.",gemini,fewshot
282,"Російська армія така сильна та непереможна, що боїться власного народу.",gemini,fewshot
283,"Російський флот такий потужний, що його кораблі тонуть самі по собі.",gemini,fewshot
284,"Російська авіація така сучасна, що її літаки падають з неба, як осіннє листя.",gemini,fewshot
285,"Російські космонавти такі відважні, що бояться літати в космос.",gemini,fewshot
286,"Російські спецслужби такі ефективні, що не можуть зловити навіть бабусю, яка торгує насінням.",gemini,fewshot
287,"Російські олігархи такі багаті, що їм не вистачає грошей на совість.",gemini,fewshot
288,"Російські чиновники такі чесні та непідкупні, що їхні кишені не застібаються від хабарів.",gemini,fewshot
289,"Російський народ такий терплячий, що терпить все, що завгодно.",gemini,fewshot
290,"Російська душа така загадкова та незбагненна, що її не розуміє ніхто, навіть самі росіяни.",gemini,fewshot
291,"Росія - країна paradoksów. Im bardziej chcesz zrozumieć, tym mniej rozumiesz.",gemini,fewshot
292,Rosja to kraj możliwości. Możliwość siedzenia w więzieniu za mem.,gemini,fewshot
293,Rosyjska propaganda jest tak subtelna jak czołg walcujący baletnicę.,gemini,fewshot
294,"Rosyjska gospodarka jest tak silna, że rubel wkrótce dogoni wartość papieru toaletowego.",gemini,fewshot
295,"Uwielbiam, kiedy Rosjanie opowiadają o swojej bogatej kulturze, popijając wódkę z plastikowych kubeczków.",gemini,fewshot
296,"Jestem pod wrażeniem poziomu intelektualnego rosyjskich polityków. Zwłaszcza, gdy otwierają usta.",gemini,fewshot
297,"Ой, звісно, хто ж не любить прокидатися о 5 ранку від звуків перфоратора сусіда? 🥱",gemini,fewshot
298,"Так, так, розкажи мені ще про те, як важко жити на 100500 доларів на місяць. 🙄",gemini,fewshot
299,"Звісно, найкращий спосіб провести вихідні - це прибирання після вечірки, яку влаштував твій сусід. 🎉",gemini,fewshot
300,"О, нічого страшного, що ти запізнився на дві години. Я ж нічого не роблю, тільки сиджу тут і чекаю на тебе. 😒",gemini,fewshot
301,"Звичайно, я вірю, що ти випадково лайкнув фото своєї колишньої. Це ж так часто трапляється. 😉",gemini,fewshot
302,"Я просто обожнюю, коли мені телефонують спамери і розповідають про неймовірні можливості заробити мільйон. 🤑",gemini,fewshot
303,"Так, я теж вважаю, що найкраще місце для паркування - це тротуар. 🚗",gemini,fewshot
304,"Звісно, кому потрібні правила дорожнього руху? Вони ж тільки заважають. 🚦",gemini,fewshot
305,Я просто в захваті від черги в поліклініці. Це ж так цікаво спостерігати за хворими людьми. 🤢,gemini,fewshot
306,"О, як приємно, коли тобі наступають на ногу в метро і навіть не вибачаються. 😠",gemini,fewshot
307,"Нічого страшного, що ти пролив на мене каву. Я якраз хотіла купити новий одяг. ☕",gemini,fewshot
308,"Я обожнюю, коли мені розповідають про свої сни. Це ж так захоплююче! 😴",gemini,fewshot
309,"Так, так, розкажи мені ще про те, яка в тебе важка робота. Ти ж цілий день сидиш в офісі і п'єш каву. ☕",gemini,fewshot
310,"Звісно, найкращий спосіб провести відпустку - це лежати на дивані і дивитися телевізор. 🏖️",gemini,fewshot
311,"Я просто обожнюю, коли мені дають непрохані поради. Це ж так корисно! 🙄",gemini,fewshot
312,"Ой, як приємно, коли тобі хамлять в магазині. Це ж так піднімає настрій! 😠",gemini,fewshot
