,is_sarcastic,text,source
25,1,"Хай спочатку питання з біженцями вирішать, а потім паради влаштовують! Багато грошей зайвих? Аби попіаритись за гроші платників податків.",Twitter
26,1,"Ви дійсно хочете, щоб тереза от так от взяла і зіпсувала свято футболу? Слухайте, ну є ж якісь міжнародні політичні норми. Взаємоповага в решті-решт. Чи ви не розумієте, що будь-які скандали з Росією зараз в першу чергу відіб'ються не на поганому Путіні, а на звичайних росіянах?",Twitter
27,1,"@censor_net На пиздаці написано, що можна вірити ",Twitter
28,1,"фінансові питання, і у разі якоїсь критичної ситуації, зателефонувати до соціальної служби (доречі, в Естонії людина взагалі добре соціально захищена), буде намагатися зайняти гроші у дайвінчику",Twitter
29,1,@prm_ua Вау! Неочікувано!,Twitter
30,1,"Всі ці 22 години в мене не було можливості вчитися, деградувати в інтернеті і грати в ігри, тому я лише спала (а що ще робити, коли холодно і темно, лол?) та перечитувала «Сонце опівночі» (дякую за відсутність українського перекладу)",Twitter
31,1,"Нам тільки не вистачало, щоб серби когось там пристрелили на Балканах й почалася третя світова.",Twitter
32,1,Людоньки шо ж ви за цибулінг влаштували за те що українці сидять в роснявій мережі де їх не поважають це як взагалі,Twitter
33,1,і знов все з початку...класс,Twitter
34,1,"@_aprelskiy ""нічєго баби єщє нарожают"" 
",Twitter
35,1,"@dashloboda @maxvimservis @ONotevskyi 👏браво.. я дивлюсь, ви обізнані і в численності зсу, і можливостях пво. Ну то треба було вийти і заявити про себе як великого головнокомандувача. ",Twitter
36,1,"Після перегляду фільму,читаю стрічку новин-вони готові вернутись в Україну,але як автономія.Нащо?У них же все так добре виходить",Twitter
37,1,"@tthoselene623 @Arkee10 @bloombeary Так і є, ви певно просто погано знаєте свою маму",Twitter
38,1,2 січня - це чудовий привід відвідати свою любу школу в такий прекрасний день з чудесною погодою,Twitter
39,1,"@gontsa нє, блін :) Параскевія
",Twitter
40,1,"Співпадіння у стрічці, буває ж таке. І да, що таке Блумберг, хто там йому вірить? От портнов то ж авторитет! https://t.co/fi2PM0IiW0",Twitter
41,1,"от той сталін дурний був. 
а треба було лише винести на референдум в сссс питання: чи хочете ви миру з Німеччиною? 
і все, мир. а зеленський голова, додумався! 
https://t.co/Z3gcwhwFzi",Twitter
42,1,"@hu_lviv точно,ми стали забувати - Порошенко ж завжди свічку тримає,коли хтось косячить,краде,вбиває. ",Twitter
43,1,"@o9v6o @censor_net О боже, десь ще залишились хуйові дороги? Не може бути такого у країні де майже всі дороги були хуйові. ",Twitter
44,1,@Jigit96 @justkotekmeme О так. Захід не має жодних противників військової допомоги для нас... Жодної. І порушення женевської конвенції - ні як на допомогу не вплине. Саме так.,Twitter
45,1,@thanatos_ka Всі чоловіки так думають. Інфа сотка.,Twitter
46,1,"@MaryTsymbaliuk Ні, бо не можна бути одночасно з декількома партнерами емоційно включеним у відносини.  Ну тобто можна - але вони будуть не повноцінним. Нашо комусь ""неповноцінні"", я не знаю. Хіба шо заради сексу, або від відчаю самотності.  Чудова основа для побудови відносин ",Twitter
47,1,"@Fodorpalaezepa @TwiyKyivstar Тобто велика корпорація тобі не відповіла миттєво і не вирішила зразу всі твої проблеми? Ще й під час війни коли світло бігає то туди то сюди?! От ЩУРИ!
",Twitter
48,1,"@GordeyUkr Бачу це дуже по-європейськи. Дуже схоже на їх цінності.
",Twitter
49,1,"@oruszhiyEnot @Kharkiv_metro Це ж вина Зеленського. І він нічого не робить щоб це змінити.
",Twitter
50,1,"@24kava2022 Очевидно збираєтесь на білорусів нападати
",Twitter
51,1,"@ninanik12 @censor_net А, ну тоді давайте все бидло пускати до президента. Бо головне щоб ніхто з журналістів не ображався. Це ж норм, це заєбісь.",Twitter
52,1,"Друга світова в самому розпалі, бомби падають, а люди сидять собі в парах, джаз слухають, жах як так можна! ",Twitter
53,1,"Коли готую картоплю, я її не чищу, а фігурно вирізаю ",Twitter
54,1,"@bu__ran очевидно, що політикою ",Twitter
55,1,"Альоооо! Як ви цю систему другий місяць ростягуєте? Спочатку було 15000, потім 20000. Тягніть вже далі до 100000, а там и літо,  мож вакціну дадуть 😏 ",Twitter
56,1,@HalinaLviv @lviv1256 Точно. Без виборів же нічого не робиться,Twitter
57,1,"@oldyoungman16 Все почалось з пані зі скріну.Вона бажала з'їздити у Р. під час війни Р.проти України.Які ж в неї пріоритети,хмм,незрозуміло",Twitter
58,1,Гуляюв 2 ночі від безсоння. Люблю таке🤤,Twitter
59,1,"Добренько, в мене тут зібралося багато родичів рибикарся по інтелекту (це можна вважати гософобним хрещенням",Twitter
60,1,"Щєллл, я одягався в аніме-гоміків тому шо сам був гоміком, це не так корелюється🤣

Але риторика вражає.
Ще одна ілюстрація: гомофобам похуй яка в тебе освіта і скільки ти заробляєш, за одне твоє існування ти поширюєш «лайно».

Аніме видно просто до слова попалося, правда?",Twitter
61,1,@louthaire @007morf Та в нього ж це в одній редакції мкх,Twitter
62,1,"@samspiesonyou Ви шо, це ж вищий пілотаж!!1!1",Twitter
63,1,"Ну проти мужиків же! Бач як ненавидять, ад в туалет не пускають!",Twitter
64,1,@huyuka_hehe ти не розумієш ці кляті транс женщіни хочуть відібрати у справжніх цьіс дєвачєк їхнє право пісяти не на вулиці тому на вході в кожен туалет у світі треба поставити охорону яка б чекала хромосоми жіночність в очах і шо там ще я забула,Twitter
65,1,"@NOHEATED @potvorno Та де, він просто поїхавший трохи, дрочив на росію. Але на початку війни продавав картини і кошти біженцям передавав, в нього в інсті пости є. 
Плюс в нього дитина від українки))))",Twitter
66,1,Ой бля! 😠 Звізно ж нема,Twitter
67,1,"@pora_domoi18 А шо? Маєш мужика - вийобуйся тим, я щітаю!
",Twitter
68,1,розмір паперу! шо це може буть?? абзац наверно!! :D,Twitter
69,1,@banderenko тільки патріоти божої чоти Азова (\0) та 19245 батальойнів Правого Сектору на чолі з Провідником зупинять війска РФ,Twitter
70,1,"@serg_south @Libertessa Йому сказали ""або ноги, або Україна"" і  він вибрав Неньку, а не свої ноги.Справжній патріот",Twitter
71,1,"@gfr_lozt @aglassofviscari @beriFM На співбесіди на кладовище , бо після 35 смерть, підор, кладовище ",Twitter
72,1,"Ну, побачення це ж завжди шоу. А тут просто жива дівчина сидить навпроти. Не цІкАво!",Twitter
73,1,"мені подобаються безменшени в моїй стрічці^^
",Twitter
74,1,@FiloSofka94 ти шо червоні троянди в зеленій сітці це ж круто!,Twitter
75,1,"Ах йес, давайте ми зробимо мем з мультфільму, побудованому на історичній особистості, який дуже серйозний і побудив багато дітей вивчати історію їх країни, і будемо казати що там сцена гей-сексу, навіть не подивившись сам мультфільм чи не вивчивши історію України 🤭🤭🤭 ",Twitter
76,1,@haillu__ Тому шо це в расєї а якщо руські когось геноцидять то норм і за дєло,Twitter
77,1,"@frostjotunn Яки ж ми, українці,все таки нацики… ех, а треба їх було слухати раніше і не проганяти Яника, можливо тоді асиміляція з рашкою пройшла б і без війни😩😩😩",Twitter
78,1,"@Ola_Suprun за руслана кошулинського

",Twitter
79,1,"@eugene_lir дивлячись на нього одразу хочеться стати дівчиною зі срібла троянди

",Twitter
80,1,Оууу Яке біднятко,Twitter
81,1,ВАААУ НІХТО НЕ ОЧІКУВАВ ТАКОГО ПОВОРОТУ,Twitter
82,1,тадададам ніхто такого не очікував,Twitter
83,1," Хлопець, у якого в біо НЕ стоїть ссилка на донат ЗСУ 🚩🚩🚩🚩🚩🚩",Twitter
84,1,Знову грузін диверсії проти державності влаштовує!,Twitter
85,1,@therealtwontie Там нема трансів значить це трансфобія,Twitter
86,1,@kyroakokiller2 @dukenukke Від формули миру і зустрічей без посередників,Twitter
87,1,"@halepa_music Подобається дівчина низького зросту? Педофіл! Всі дівчата низького зросту мають лишатися незайманими, щоб не нормалізувати педофілію в суспільстві! ",Twitter
88,1,"Величезна дяка, та пошана 169 учбовому центру ""Десна"", за якісно навчаних кулеметників 12,7. Особливу увагу, прошу звернути на колір ДТК",Twitter
89,1,"Ви тільки уявіть, скільки боргів можна погасити, якщо не відшкодовувати ПДВ з держбюджету!  ",Twitter
90,1,@ukrreporter @AndriySadovyi Ну навіщо ж лишати осінт-спільноту без хліба.,Twitter
91,1,як як ви кажете називається аніме?? а то я шось не поняла,Twitter
92,1,Я роз'єбав свої костяшки і замість того щоб зі мною поговорити мене відхуєсосили за це і сказали що я не хлопець щоб робити таке і що з мене в компанії тепер всі сміються і взагалі мене не хочуть чути і щоб я пішов кудись   I love you too 🥺,Twitter
93,1,"Взагалі, стаття НЕ ПРО БАНТАН.   Назва статті ""Строкова служба: за чи проти"". Там наведені приклади країн, у яких є строкова служба, серед них і Південна Корея. І як ""яскравий приклад"" тут вирішили ""вліпити"" наших хлопців, які навіть не підозрюють, що вони вже служать ",Twitter
94,1,@black_sq_again @YanaNavna вік - не перепона для неадекватності!,Twitter
95,1,Давно пора покарати польщу ВІДІЗВАВШИ усіх українців звідти,Twitter
96,1,Британський лорд продався за нафтодолари.,Twitter
97,1,Сакварелідзе - не Луценко. З ним війну не виграєш.,Twitter
98,1,дівчата в мені признали сімпку яка тече по мобіус це клініка,Twitter
99,1,"проходимо у відділі тест MBTI і у Діми випадає ""Стартег"". всі: ой, чьойта, не може бути, як дивно ",Twitter
100,1,і знову змінила оформу вау анбелівбл,Twitter
101,1,"43/40 - ""1984. Графічний роман"" ~ p. 29  Десь я таке вже бачила. НУ НАВІТЬ НЕ ЗНАЮ ДЕ ",Twitter
102,1,"21.06 Порошенко зустрінеться з Олландом, згодом – Меркель з Путіним, а там, дай бог, і Гриценко з Мостовою ",Twitter
103,1,"Приязно і невимушено пройшла зустріч Тіллерсона—Лаврова. Сторони посміялись над санкціями, підтримали теракти й кібератаки у світі ",Twitter
104,1,"Московія оголосила про розірвання угоди про постачання газу Україні, віце-президент Еврокомісії Шефчовіч закликає Московію і Україну підтвердити, що вони є надійними постачальником і транзитером газу.  RL: Навіть не сумнівайтесь — нема надійнішого партнера ніж Московія ",Twitter
105,1,"от тупі українці не можуть самі від імені жителів росії вивести гештег у твіттері, що ми вони проти війни з україною. ",Twitter
106,1,обожнюю думки по типу «а якщо я все ж таки містайп»,Twitter
107,1,"@Svidomi_En які прогресивні держави проти, прям видно що в них в голові та в державах ",Twitter
108,1,Всєй душой люблю своє обличчя коли співаю,Twitter
109,1,"@MihanikMykhailo Ну і правильно, історія взагалі не зачепила.",Twitter
110,1,@rustiuwu Ви ще скажіть к-поп не слухати 🙄,Twitter
111,1,@LeMihon Та всмислі несерйозно?🙄,Twitter
112,1,"Запам'ятайте, діти: якщо звідусіль тхне гівном, значить то усі навколо обісрались, і ти, єдиний необісраний, тому це відчуваєш ",Twitter
113,1,Я не розумію се якийсь дуже локальний дуже суперечливого характеру жарт чи люди реально..... sigh.  «Дихати 🚩🚩🚩🚩🚩🚩🚩»,Twitter
114,1,"Ні, не казали...? Точніше, ну, мати не казала (зате я пам'ятаю дуже багато вельми цікавих  фраз від неї вже у свідомому віці)",Twitter
115,1,"завела тґ-щоденник і зловила себе на тому, що все що пишу туди хочеться твітити сюди😩  от цікаво, чого це в мене з'явилась потреба альтернативи твітеру? 🤔 ",Twitter
116,1,Оце боротьба! Оце я розумію!,Twitter
117,1,"@oleksa_liutyi Очевидно ж, що агресивних ЛГБТ, які підло й підступно намагалися своїми обличчями пошкодити кулаки бідним тіпівцям (використовую це слово тут як узагальнюючу назву подібного роду активістів), що прийшли мирно виразити свій протест гомопропагандистам ",Twitter
118,1,"@accentfrommars Якщо ти трансгендерна людина - значить ти автоматично, одним фактом свого існування, змушуєш лесбійок любити жіночі члени, що, очевидно, лесбофобія у чистому її виді. Це ж база, про це ще Сапфо писала ",Twitter
119,1,"@fruzya_insane Та вони просто бояться промовляти слово ""місячні"", шо ви цейво, зрозумійте людей ",Twitter
120,1,"@fruzya_insane Погортала її твітер, дуже сподобалося. Пані пише, що чоловічі хтивки цікаві лише чоловікам. Сoincidentally, це моя улюблена течія фемінізму — та, де знецінюють і роблять невидимими жінок 😍😍 ",Twitter
121,1,"@MishaKrupin Песков часом не прокоментував мій коментар? 
Дуже цікава його думка ",Twitter
122,1,Така зараз думка з’явилась. В 14 рашка «давала» зброю для підтримання «сепаратистів». А якщо ми тим нєтвайнє дамо зброю бо вони ж не вибирали президента і не хочуть нічого мати спільного з росією?,Twitter
123,1,"хочу зльот застемпів)
але без моєї ШИКАРНОЇ ПІДЗАСТМПОВОЇ,ЯКУ Я ДУЖЕ ЛЮБЛЮ!!!!!!!
",Twitter
124,1,"Обожнюю неорганізованість! 
",Twitter
125,1,"Таке враження, що будівельники, айтішники, ейчарники, юристи, бухгалтери, логісти і маркетологи - це люди не з цієї планети ",Twitter
126,1,"перший робочий день всьо, хай йому буде добре в кращих світах ",Twitter
127,1,Акція #ТВі в Козятині викликала шалений резонанс біжу дивитися трансляцію по @TViUaOfficial та читати трансляцію від @Kyi_Net,Twitter
128,1,Найкращий мер в історії Міста,Twitter
129,1,"Пришла в цей зброд якась пізда
То стало пізда як весело
",Twitter
130,1,@nigroll @NikoHunta @CaIedonia_sI @kaktota83571856 @nushotut @Tal0N23 @ItechVK Бо це їх обов'язок як хороших хлопців 💪,Twitter
131,1,Для людини з заниженою самооцінкою коментарі як бальзам на душу😐,Twitter
132,1,"@CaIedonia_sI Зазвичай я з вами не погоджуюсь але тут да, це мінімум нобелька в імунології. Та розуміння нового алгоритму/механізму імунної відповіді. 🙄 

",Twitter
133,1,@AndriiReal Та ладно ))) ну блін))) https://t.co/TfTJAewVfM,Twitter
134,1,Обожнюю як моя шкіра відразу червоніє й покривається плямами від найменшого стресу чи нервувань 👍👍👍,Twitter
135,1,@jozefkneht1 А ще краще порноканал з вставквми реклами ЄС.,Twitter
136,1,Як же я скучив за цими Юліними зникненнями...,Twitter
137,1,Ну звісно я  вірю )))))))))))))))),Twitter
138,1,"як ДОБРЕ, що я не провтикую літо, а працюю((( ",Twitter
139,1,"Люблю наші позитивні новини... Ми, виявляється, реально толерантна нація ",Twitter
140,1,@dikalo_2011 голосуй за Гройсмана. класний мужик,Twitter
141,1,"Закон про мита на вживані авто зарубає насмерть вітчизняного автовиробника! #ПорошенкоНеПідписуй!
Інфовоїнство - штормимо!!!!",Twitter
142,1,"@kitekatt_ ааа.. ок)
По-моєму, дуже хороша людина. Хозяйствєннік, професіонал і реформатор! ",Twitter
143,1,"Яке нахуй озброєння? Які снаряди? Тут вже велике будівництво на усю катушку... Тільки встигай бабло пиляти... Нарід, радій.. Війна знову десь там далеко (Донбас - да хуй з ним.. а деце?)... Ой, тепер ще й південь... Да похуй також...",Twitter
144,1,@VGroysman @ukrpravda_news От тепер піде робота... Нарешті! Зачекалися вже!,Twitter
145,1,"@newsua_one Та ну на...й, неможе такого бути,це не вони.😲😲😲",Twitter
146,1,"Агов, укртві, є вопросікі.
Як високочола літературна критикиня я не орієнтуюся в українських (важливо: україномовних) книжкових інстаграмах та буктюбах.",Twitter
147,1,@AnnaKatalkina @SilentHunterPro І воду треба отруїти. Щоб нічого не залишилось їм.,Twitter
148,1,@huidneprodym Нє ну це не повага.,Twitter
149,1,"@b_Endera @rs_ssw Хто усіх послає нах, залишиться в результаті на одинці з собою.

В українців є два таланти - створювати собі з будь-кого кумира, і робити друзів ворогами. Саме тому ми такі ахуєнно непереможні ",Twitter
150,1,"@globov84 @olegperviy17 Ну що ви йому такі питання задаєте ???
Він вже внєпалітіки і взагалі - зє сказав що в цьому році мир, а ви просто порохобот і провокатор !
",Twitter
151,1,"@o_osetianov @andrei_doggg @_dopeless Але варто зважати,що люди зараз як оголені нерви.Подразнені.І стартують легко.Таке міг написати і щирий Зе віруючий... Ні не міг... Не міг?Чи міг?",Twitter
152,1,"Бооооже, який же позор-то, а ми пам'ятаємо.
Гарна пам'ять то прокляття.😔😔😔",Twitter
153,1,"Tw: езотерика

Персона: ніхто не може вказувати як мені виглядати!
Та ж сама персона: я знаю, як правильно займатися магією, всі хто робить інакше - ідіоти!
МмМмМ наш улюблений смак лицемірства~ 😃😃😃",Twitter
154,1,"Tw: смерть
«Піцца на смак як смерть»..
Ну..Ну тут вже всьо, цей во, приїхали.
Тьоть, що тобі в дідька лисого треба?
Ну гаразд, зробимо їй веганську піццу, гляди ж прокатить.🤓🤓🤓",Twitter
155,1,"Tw: радфем

Ракфем: жінки мають право виглядати як їм хочеться!
Персонажка з відкритим одягом: *просто є * (тим паче, лише персонажка, якої блять НЕ ІСНУЄ)
Ракфем: оБ'ЄктивіЗацІяБ!!

МмМммМ, подвійні стандартики.😋😋😋",Twitter
156,1,"Чувак: я атеїст!
Також чувак: *всераїться від того, що свято віре що в темряві сидять демони*
Атеїст, ага.) 😃😃😃",Twitter
157,1,"Tw: вбивство, маніяки

Ніколи не розуміли що такого мега шокуючого люди знаходять, коли дізнаються що хтось виявивс маніяком.
Ваааааау, людсьво котре ВСЕ своє існування займалося вбивствами собі подібних знову вбило собі подібних вааааау, як неочікувано.",Twitter
158,1,"Що значить це їхнє біадєва?
Цис*жінка така ж сама біологічна як й транс*жінка, чи одна з них біо, а інша хімдєва? Фіздєва? ГМОдєва?",Twitter
159,1,"Бля, мені сміятися чи плакати?😃😃😃",Twitter
160,1,"Мені так подобається, коли нейротіпіки говорять що навчатись то легко)",Twitter
161,1,"@hippie_morkovka Ти не розумієш, то друге 😌",Twitter
162,1,"Я люблю флафф мені треба блювотно рафінований флафф, від котрого злипається жопа, бо мені не подобається насилля, не важливо чиї це відносини

Нє, ну це 100% означає що я ненавиджу взагалі всіх 😔👍",Twitter
163,1,"звільняємо усіх істориків та вчених, не було сенсу досліджувати історію, росіяни мають схему, якщо букви схожі значить це одне і те ж ",Twitter
164,1,"@Vicki712 Ну так, геї найбільша проблема людства😕. Спаму від них нема ",Twitter
165,1,Дуже хороша людина. Найкращий кандидат був на голову НБУ 🤦‍♂️,Twitter
166,1,@chemodanov_di @murdoc1989 @vovaonvi звучіт неубідітільно!,Twitter
167,1,"@l_vinchenso @nushotut Ну да...дуже сложний вибор с вакциною переболеть в легкой чи безсимптомно, чи без вакцини в тяжкій формі та під киснем.
Логічна логіка
І де вже колять п'яту ",Twitter
168,1,@korobkofz @InfoResist Типова прислуга. Розумниця. Активістка. І взагалі - красуня!,Twitter
169,1,"Що за день? Кременчук і Ештон.... Аж серце болить за цих людей. Найголовніше те, що я така щаслива нічого не знаючи чекаю новин з концерту від подруги в аквапарку👍",Twitter
170,1,"скоро день народження. а це значить, що мені повинні подарувати мерч за 88 євро, піцу з купою грибів (тільки без дивної сирної кулі всередині якої якась жижа а то я не розуміюсь в кулінарії). і звісно, кинути донат на створення закордонного паспорта. ",Twitter
171,1,"🇺🇦 спеціально це робить:
🤩 заглушує Палестину, перекидає увагу з неї на себе
🤩 забирає робочі місця у поляків
🤩 псує імідж рф у світі
🤩 привертає увагу ""економічним селфхармом"" - занижує показники для жалості ",Twitter
172,1,"@octopus_eye Бачила десь сьогодні, що ""засаспендили"" тільки КітКат та Несквік. Всё інше, як я розумію, то дитяча їжа або лікарняне харчування 🤡",Twitter
173,1,"Людям, які викладають фотки в інстаграмі раз в пів року, треба підписувати фото ""Я - живий(а)"".

#львів #україна #УкрТві #жарти ",Twitter
174,1,"@Brooky_Brook ну, він піздєц хуйовий варотнік!. А чого добився ти? ",Twitter
175,1,"Програли корабели...
А я в той момент, коли забивали миколаєвцям голи, сиділа за книжками! Ммм, четветрий курс 😏",Twitter
176,1,"@ISD_sport ащє класний твіт, я спочатку дізнався, що чувак помер, а потім дійшло, що одружився.",Twitter
177,1,"дякую, дуже заспокійливо та обнадійливо вийшло ",Twitter
178,1,"@uasevas тому плотницький назвав гадю своєю людиною в Раді, а Йулья  відхрещується від гаді. Попала ""родіна""  в   дупу, хі-хі...",Twitter
179,1,"То фігня, головне щоб зп в керівника ощаду зростала. ",Twitter
180,1,"@Sad_Girl_4_u Круто, давайте більше фоток!!! ",Twitter
181,1,Ой що Супрун з мудрим народом робить. )),Twitter
182,1,"@selanta Демократи і консерватори
Лейбористи і торі
Готуємося бути цивілізованими
",Twitter
183,1,шеймити жінок за вбивство це мізогінія,Twitter
184,1,"@The_MoonCat @n_dobrodiyka Ви не розуміюти, він МІГ бути проти обміну і взагалі хотів за Україну битись! ",Twitter
185,1,"@knygoholic дівчатка, які не в цьому списку, просто тонуть в океані сліз ",Twitter
186,1,"у цій важкій ситуації українці намагаються перетягнути всю увагу на себе, відволікти від справжніх проблем та звісно роблять з себе жертв. іншим взагалі-то гірше, перестаньте симулювати ",Twitter
187,1,ого вау я прокинулися о 2:37 вночі і не можу заснути прямо в день екзамену ніхуя собі ого дякую 👍,Twitter
188,1,люблю коли люди пишуть 'dni якщо підтримуєте яку небудь дискримінацію' а в наступному рядку 'dni т*спільнота',Twitter
189,1,"кому ж як не цисам шарити за трансфобію. ну бо трансгендерні недостатньо ""широко мислять"" ",Twitter
190,1,"""френк взяв собаку ДО війни""
перепрошую, у френка виявляється є собака якій 8+ років??? ",Twitter
191,1,"@demkiv_m @d_cares @kotenko_talk @LotuGzh Та ні, Михайло, перестаньте
Гонтарєва в любому випадку причетна
",Twitter
192,1,"@demkiv_m @Mitridatua1 ну тут відповідь як би очевидна, зато яке морозиво в срср було ",Twitter
193,1,"@chastime Шо за бла-бла-бла .... Нема грошей? Погано в США? .... НА РОДiНУ першим ""ПараХодом""  саме  ""ПараХодом"". І заодно всіх родичів - а може то ціла банда була - як ж вони там всі у Штатах опинилися, га?Точто вам кажу банда то, їй Богу ... банда то ... на ""ПараХод"" усіх... ",Twitter
194,1,"@ruslan_j5 @tewton44 Ну дайте дитинці побавитись ... 🤣  Шо вам 'жалко  пісочниці'?
Все буде добре ... не переживайте , за якихось 5 тисяч років все буде ... і пенсія і робота.
Ви головне ... тримайтесь там ... 
😁",Twitter
195,1,"@your_melanie усьо фрумос - завтра буде все зелене і в кипах ... 
Ну ... да не все ... і так не всі ... але буде драйвово як на концерті клоунів ... 
Головне вчасно написати нікролог ... Наприклад сусіду пенсіонеру ... 
Вже буде якась забава ..
",Twitter
196,1,@Vlad_Underwood Сало подорожчає... Ну і apple 12го вже небуде. Ну і хєр з ним...,Twitter
197,1,"@atom_mono84 @tewton44 Та шо ви такі засмучені? Наче нічого не сталося і зп підняли...
Доречі, ви зелено-бобиків не лікувати пробували, ні? 
Тоді не переживаєте ви так... зєля за вас переживає... все буде зєля...
",Twitter
198,1,"@viktoriya_ptaha Ви забули, наче ж зєля юрист з дипломом. Правда він той диплом 'викупив' в черзі, але ж має
",Twitter
199,1,"@_Smithchenko Шо за міністр? Ви шо? Як так можна. Міністр не повинен рахувати. Його задача виступати у кварталі і розказувати смішні анекдоти.
Більше так не кажіть. А то клоун образиться і піде у запой, взагалі не розкаже 'свіжого' анекдота.
Рахуйте та думайте самі...
",Twitter
200,1,"@Airin141203 @MonoLisa011 Точно. Я можу підтвердити, сам етикетки клеїв з екс міністром.
",Twitter
201,1,"@superumka @Ola_Suprun За шо? Він ж нічого не зробив, як і всі інші на чолі з зєлєнским.
То зєлєнскій можна нічого не робити і далі 'керувати', а 'бідного' клоуна степанова звільнили такі як він, що нічого не роблять. Жах.
",Twitter
202,1,"Як епічно - нарІд з жалем дивиться, як зеля роздає шашлик своїм родичам і думає - от сц, а мені не дав того мяса. 
У всьому винен Порошенко
",Twitter
203,1,"@uriyukrainets @Holobutsky Нууу, типу святкуємо день зєлі, граємо на роялі і сміємося...
",Twitter
204,1,"@5channel Та невже, неможу повірити...
",Twitter
205,1,"@BBC_ua Шукаєте, чого стара версія срср-матриці не спрацювала та чого люди захотіли втікти з неї?

Подивіться Матриця-революція, там всі відповіді

",Twitter
206,1,"@oUqXP4RXQRmPtlw То Зеленський має екстрасекс здібності? І він зможе поглядом нагнати страх у очах путлєра?
Тобто він його загіпнотизує?

Який же сміливий крок...
",Twitter
207,1,@volodarskijo Чому саме Іран?,Twitter
208,1,"@ax3maestro @Dagmar_E @JhoneSmith7 Усі міжнародні гарантії не варті паперу, на якому вони написані. Світ цинічний та прагматичний. Усі гарантії діють поки вони вигідні. ",Twitter
209,1,Батя повернись ... ти наш президент,Twitter
210,1,"Доречі, завжди мріяв, щоб біля мене вночі хтось хропів!!! 😂😆😆 ",Twitter
211,1,"В магазині з-за спини раптом чую дитячий крик - дівчинці купують якусь дрібничку, питання в кольорі. 
Мама: Може, рожеву?
Д: Синю!
М: Так рожеву?
Д: СИНЮ!

А так да, діти самостійно обирають кольори іграшок, і ніхто не нав'язує гендерно-стереотипні кольори, що ви.
",Twitter
212,1,"@bez_sensu якщо все так, то так і знала, шо мені треба було погоджуватись проходити гіюр (там смішна історія) і переїжджати до Ізраїлю, ото б я там горя не знала.",Twitter
213,1,"Правильно. Щоб красівой у гробіку лежати. А то люди прийдуть на мене дивитися, а я як чуча... ",Twitter
214,1,Ліс вирубують??? 😯,Twitter
215,1,"@1gor1ok Хто вирубує фінські, німецькі і польські ліси??? Коли це скінчиться??? Президенти знають про це???)) ",Twitter
